Grad,H,p
Athens,3139.709195123476,0.0
Malaga,340.4387923127655,4.2534928951150906e-67
Istanbul,1125.736956254599,1.838224739736062e-211
Naples,650.6302590549755,3.988073866851092e-119
Rome,9081.781229747841,0.0
Valencia,755.9662376198279,4.097880369087653e-113
